Date,AAPL,AMD,BAC,CLDX,GE,JNJ,KO,MCD,MSFT,T
2000-01-01,2.508365,18.0,12.542844,66.0,25.650158,27.321186,17.862675,23.943787,32.50293,17.86861
2000-02-01,2.771291,19.75,11.911654,132.75,25.339102,22.856955,15.122046,20.340204,29.680204,15.818597
2000-03-01,3.283542,29.5,13.578638,114.0,29.789591,22.381735,14.597249,23.943787,35.284145,17.65188
2000-04-01,2.999461,43.75,12.970468,82.5,30.189463,26.284607,14.74954,24.384211,23.163012,18.359007
2000-05-01,2.03087,40.875,14.674498,60.0,30.309464,28.514816,16.661518,22.942787,20.776134,18.407591
2000-06-01,2.532543,38.625,11.593268,126.75,30.525448,32.575298,17.929661,21.100954,26.566896,18.539253
2000-07-01,2.456989,36.0,12.77282,78.0,29.769495,29.757414,19.201319,20.300161,23.183767,17.933567
2000-08-01,2.946575,37.5,14.445241,116.25,33.854366,29.402689,16.485518,19.149002,23.183767,17.696045
2000-09-01,1.245116,24.0,14.404002,129.75,33.385159,30.136633,17.263556,19.339205,20.028946,21.131987
2000-10-01,0.945926,22.625,13.217991,101.25,31.726412,29.555166,18.967987,19.859724,22.872435,24.442152
2000-11-01,0.797842,15.25,10.98348,95.25,28.687616,32.081585,19.674871,20.420279,19.05345,23.391785
2000-12-01,0.719266,13.8125,12.975213,82.5,27.747034,33.82061,19.198708,21.924202,14.404231,20.331429
2001-01-01,1.045656,24.6,15.222364,95.8116,26.700647,29.979439,18.273233,18.925747,20.278006,20.586901
2001-02-01,0.882461,21.5,14.339911,63.75,27.002596,31.331446,16.707403,18.957987,19.593081,20.413427
2001-03-01,1.067173,26.540001,15.830133,51.75,24.308146,28.251934,14.227915,17.120228,18.160967,19.099611
2001-04-01,1.232545,31.0,16.191557,59.52,28.282959,31.162081,14.604894,17.732815,22.498833,17.65312
2001-05-01,0.964663,28.25,17.131245,57.360001,28.556875,31.313881,14.987485,19.525444,22.973713,18.530178
2001-06-01,1.124231,28.9,17.689182,67.800003,28.556875,32.388977,14.228625,17.449087,24.242296,17.243195
2001-07-01,0.908572,18.26,18.747057,65.279999,25.351513,35.072933,14.157655,18.790333,21.980785,19.382448
2001-08-01,0.896967,13.55,18.122355,42.360001,23.913536,34.171803,15.449627,19.364225,18.945513,17.718882
2001-09-01,0.749971,8.15,17.20887,28.440001,21.750206,36.033882,14.871889,17.500669,16.992847,20.408554
2001-10-01,0.849097,9.84,17.702982,40.799999,21.384682,37.666462,15.309187,16.810703,19.310812,16.506161
2001-11-01,1.029941,13.56,18.420237,46.080002,22.612206,37.88763,15.015028,17.307219,21.323254,16.281143
2001-12-01,1.058954,15.86,18.891388,48.119999,23.540188,38.556152,15.132536,17.213367,22.000708,17.060785
2002-01-01,1.195312,16.049999,19.286654,38.759998,21.916594,37.518856,14.041325,17.675079,21.157204,16.311625
2002-02-01,1.049283,13.5,19.568161,16.08,22.71303,39.730453,15.20956,16.972761,19.373907,16.587898
2002-03-01,1.14454,14.71,21.213554,20.76,22.167061,42.504322,16.772558,18.045744,20.028111,16.412548
2002-04-01,1.173553,11.18,22.604507,21.24,18.699745,41.791027,17.890032,18.468439,17.35482,13.615756
2002-05-01,1.126649,11.43,23.643044,13.08,18.456738,40.14843,17.906147,19.4699,16.906507,15.141171
2002-06-01,0.856834,9.72,21.943338,13.44,17.217991,34.31596,18.047949,18.500957,18.165115,13.467647
2002-07-01,0.737883,8.03,21.079494,11.88,19.20462,34.539223,16.154734,16.094856,15.933492,12.213614
2002-08-01,0.713222,8.85,22.214306,13.44,17.981962,35.662079,16.497635,15.451062,16.298796,11.018093
2002-09-01,0.701134,5.34,20.223646,13.2,14.701673,35.64159,15.51424,11.484246,14.525453,8.95165
2002-10-01,0.777049,6.14,22.528259,16.799999,15.164913,38.719379,15.094711,11.776883,17.756645,11.42782
2002-11-01,0.749488,9.0,22.618626,17.76,16.288017,37.579216,14.821924,12.030496,19.15473,12.857712
2002-12-01,0.692913,6.46,22.454025,13.56,14.624386,35.518181,14.300762,10.60257,17.168859,12.230616
2003-01-01,0.694364,5.24,23.034403,14.04,14.002829,35.452049,13.198196,9.38934,15.760804,11.026052
2003-02-01,0.725794,5.49,22.768055,13.08,14.553501,34.684948,13.119909,8.973943,15.740879,9.468301
2003-03-01,0.683726,6.18,21.978863,13.32,15.554189,38.42672,13.204719,9.534404,16.131317,9.131447
2003-04-01,0.687594,7.44,24.8165,15.36,17.963562,37.424061,13.256066,11.275125,17.037495,10.633629
2003-05-01,0.867955,7.28,24.866766,27.84,17.506081,36.089378,14.952444,12.34989,16.397831,11.768428
2003-06-01,0.921628,6.41,26.48546,34.68,17.493877,34.478973,15.228071,14.545569,17.084137,11.810023
2003-07-01,1.019303,7.3,28.147718,29.16,17.460878,34.539017,14.825572,15.171965,17.597189,10.797737
2003-08-01,1.093285,11.29,27.015934,28.200001,18.154644,33.065159,14.34753,14.782936,17.670488,10.534849
2003-09-01,1.001896,11.11,26.603455,28.92,18.301996,33.181293,14.162912,15.521425,18.523361,10.436355
2003-10-01,1.106824,15.2,26.346706,27.719999,17.921347,33.72403,15.372245,16.4841,17.417292,11.247811
2003-11-01,1.011083,17.969999,26.242338,31.559999,17.711308,33.033859,15.405368,16.8995,17.226879,11.105124
2003-12-01,1.033326,14.9,27.981842,32.880001,19.138338,34.781021,16.893192,16.62682,18.339153,12.436025
2004-01-01,1.090867,14.86,28.944696,44.040001,20.91156,35.965969,16.390551,17.236189,18.526775,12.164124
2004-02-01,1.156629,15.0,29.108154,31.32,20.221348,36.295891,16.630217,18.950428,17.776316,11.587084
2004-03-01,1.307493,16.23,28.774141,31.32,19.093548,34.29879,16.743397,19.131226,16.704245,11.842861
2004-04-01,1.246567,14.22,29.165674,33.48,18.736952,36.537121,16.918028,18.233931,17.508297,12.016594
2004-05-01,1.356814,15.55,30.122288,29.16,19.46891,37.673214,17.17898,17.678137,17.57531,11.58052
2004-06-01,1.57344,15.9,30.662178,31.92,20.269686,37.862896,16.887922,17.410284,19.136511,11.849268
2004-07-01,1.56377,12.49,31.40868,24.0,20.926691,37.57061,14.744617,18.414726,19.089611,12.381876
2004-08-01,1.667731,11.43,33.23756,21.84,20.637178,39.49432,15.030365,18.0933,18.292255,12.767366
2004-09-01,1.873719,13.0,32.018314,20.52,21.134386,38.485973,13.463796,18.769632,18.581429,12.846581
2004-10-01,2.533751,16.82,33.43161,22.440001,21.601572,39.886578,13.74887,19.519609,18.796469,12.50499
2004-11-01,3.242138,21.280001,34.536297,22.200001,22.386629,41.212029,13.29238,20.584314,18.016928,12.605491
2004-12-01,3.114,22.02,35.073727,24.120001,23.108366,43.534771,14.16912,21.866722,20.013189,12.90598
2005-01-01,3.718426,15.8,34.950867,21.719999,23.010317,44.413418,14.118078,22.091803,19.683626,11.899346
2005-02-01,4.338324,17.450001,35.161903,20.16,22.418018,45.031242,14.563841,22.562418,18.844751,12.204546
2005-03-01,4.029826,16.120001,33.239864,19.559999,23.109882,46.301651,14.179328,21.239227,18.159096,12.016862
2005-04-01,3.487293,14.23,34.276005,14.64,23.199604,47.315109,14.878347,19.991068,19.008066,12.072662
2005-05-01,3.845112,16.4,35.250095,17.040001,23.379044,46.260288,15.285923,21.102825,19.38373,12.020046
2005-06-01,3.559824,17.34,34.709785,14.04,22.206247,45.032166,14.299511,18.927059,18.72167,12.210269
2005-07-01,4.124601,20.08,33.505653,16.08,22.247131,44.311646,15.084044,21.259697,19.302013,12.570148
2005-08-01,4.534642,20.77,33.067619,15.72,21.673229,43.916756,15.166772,22.132729,20.636051,12.548104
2005-09-01,5.18452,25.200001,32.732674,15.6,21.711914,44.066875,14.887564,22.842062,19.449986,12.490778
2005-10-01,5.569419,23.219999,34.007767,16.440001,22.011013,43.607262,14.840141,21.552977,19.427298,12.428248
2005-11-01,6.558741,26.18,35.679386,21.48,23.185883,43.001411,14.808921,23.087601,20.924026,13.157995
2005-12-01,6.952343,30.6,36.26918,22.559999,22.750988,42.071594,14.075435,23.470751,19.825415,12.93614
2006-01-01,7.302427,41.799999,34.760269,23.879999,21.409597,40.279518,14.449064,24.368641,21.341702,13.707349
2006-02-01,6.623537,38.669998,36.033424,23.639999,21.488043,40.356525,14.65508,24.299036,20.371275,14.770767
2006-03-01,6.065531,33.16,35.789787,30.120001,22.906898,41.69038,14.620156,23.916216,20.698948,14.476317
2006-04-01,6.807283,32.349998,39.664577,21.360001,22.781765,41.260948,14.758556,24.062386,18.371174,14.031968
2006-05-01,5.780241,30.889999,38.456833,20.040001,22.564423,42.394371,15.486631,23.087919,17.230112,14.125287
2006-06-01,5.538472,24.42,38.614929,19.32,21.708204,42.445007,15.131388,23.387217,17.793684,15.1172
2006-07-01,6.572282,19.389999,41.368553,18.24,21.691435,44.307995,15.764778,24.633146,18.374077,16.25547
2006-08-01,6.561643,24.99,41.320385,17.639999,22.600504,45.802643,15.874612,24.988127,19.626513,17.077204
2006-09-01,7.444587,24.85,43.471836,15.72,23.423307,46.267906,15.828553,27.229406,20.963491,17.861677
2006-10-01,7.841091,21.27,43.715286,17.639999,23.464741,48.020588,16.666632,29.178339,22.00592,18.788765
2006-11-01,8.864264,21.57,43.699062,17.76,23.578356,46.959007,16.705872,29.213152,22.504139,18.793518
2006-12-01,8.204715,20.35,43.777496,16.08,24.868221,47.30304,17.327505,31.608952,22.965631,19.813276
2007-01-01,8.290782,15.55,43.113331,16.440001,24.271101,47.861904,17.194633,31.623213,23.734739,20.855198
2007-02-01,8.18247,15.07,41.678402,17.16,23.503576,45.089077,16.763685,31.152607,21.665833,20.610653
2007-03-01,8.985147,13.06,42.30051,17.52,23.993633,43.427418,17.23773,32.122334,21.509432,22.083651
2007-04-01,9.651464,13.82,42.201008,14.04,25.011467,46.281261,18.876282,34.425442,23.107004,21.686003
2007-05-01,11.720054,14.27,42.043484,12.0,25.500021,45.596626,19.165632,36.044048,23.685841,23.364815
2007-06-01,11.802254,14.3,40.982857,9.96,25.975,44.698235,18.919691,36.193771,22.817945,23.455256
2007-07-01,12.742256,13.54,39.750603,7.8,26.490564,43.885815,18.973495,34.133095,22.446289,22.132711
2007-08-01,13.392135,13.0,42.48336,6.36,26.565739,44.821548,19.581551,35.117088,22.24498,22.731007
2007-09-01,14.841787,13.2,42.139679,6.72,28.294872,47.978378,20.925098,38.839149,22.890156,24.122114
2007-10-01,18.369699,13.08,40.985035,7.08,28.320683,47.591335,22.625305,42.603996,28.601042,23.825655
2007-11-01,17.622149,9.76,39.159901,5.76,26.345947,49.468113,22.749865,41.691303,26.106895,21.970337
2007-12-01,19.155939,7.5,35.02573,6.0,25.506502,49.0116,22.604467,43.109642,27.752327,23.896553
2008-01-01,13.090406,7.59,38.023357,7.68,24.537926,46.395676,21.731524,39.209229,25.413656,22.131336
2008-02-01,12.090444,7.21,34.225319,8.28,22.997366,45.528618,21.532623,39.597065,21.204025,20.222111
2008-03-01,13.87761,5.89,32.649269,9.8,25.916758,47.983078,22.4203,41.090328,22.209873,22.236778
2008-04-01,16.822374,5.96,32.873135,10.93,22.898628,49.625156,21.823088,43.89748,22.319431,22.474821
2008-05-01,18.253643,6.88,29.781969,14.01,21.512104,49.366268,21.226257,43.705898,22.162918,23.405729
2008-06-01,16.192804,5.83,20.902552,14.56,18.690039,47.926456,19.268961,41.421886,21.608282,19.76288
2008-07-01,15.371753,4.21,29.374352,16.24,20.030581,51.002857,19.216915,44.33897,20.202288,18.073439
2008-08-01,16.394917,6.29,27.802956,13.83,19.896048,52.462852,19.429609,45.977852,21.435467,18.99818
2008-09-01,10.991839,5.25,31.249311,11.63,18.05513,51.94141,19.731852,46.033459,21.047806,16.581091
2008-10-01,10.40482,3.5,22.011604,7.75,13.999489,45.988556,16.557646,43.220699,17.609497,15.898132
