Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,3.745536,4.339286,3.089286,3.705357,2.508365,3138794400
2000-02-01,3.714286,4.283482,3.464286,4.093750,2.771291,1829945600
2000-03-01,4.234375,5.370536,4.071429,4.850446,3.283542,2174589200
2000-04-01,4.839286,4.982143,3.745536,4.430804,2.999461,2165601200
2000-05-01,4.459821,4.508929,2.919643,3.000000,2.030870,2451937600
2000-06-01,2.919643,4.116071,2.870536,3.741071,2.532543,2026301200
2000-07-01,3.723214,4.330357,3.348214,3.629464,2.456989,1436692600
2000-08-01,3.593750,4.392857,3.160714,4.352679,2.946575,1409021600
2000-09-01,4.379464,4.580357,1.812500,1.839286,1.245116,3629232600
2000-10-01,1.906250,1.910714,1.250000,1.397321,0.945926,5476447200
2000-11-01,1.388393,1.642857,1.151786,1.178571,0.797842,2122093400
2000-12-01,1.214286,1.250000,0.973214,1.062500,0.719266,2214742600
2001-01-01,1.062500,1.607143,1.031250,1.544643,1.045656,3427365200
2001-02-01,1.477679,1.566964,1.285714,1.303571,0.882461,1755941600
2001-03-01,1.272321,1.696429,1.227679,1.576429,1.067173,2699765600
2001-04-01,1.577857,1.937143,1.339286,1.820714,1.232545,2789747800
2001-05-01,1.815000,1.907143,1.378571,1.425000,0.964663,1867108600
2001-06-01,1.437857,1.792857,1.382143,1.660714,1.124231,1909566400
2001-07-01,1.688571,1.801429,1.275000,1.342143,0.908572,2163775600
2001-08-01,1.357857,1.421429,1.234286,1.325000,0.896967,1282339800
2001-09-01,1.321429,1.362857,1.048571,1.107857,0.749971,1382880800
2001-10-01,1.106429,1.387143,1.059286,1.254286,0.849097,1886061800
2001-11-01,1.260714,1.539286,1.232143,1.521429,1.029941,1342436200
2001-12-01,1.504286,1.716429,1.435000,1.564286,1.058954,1157459800
2002-01-01,1.575000,1.766429,1.446429,1.765714,1.195312,2128844200
2002-02-01,1.738571,1.855714,1.495714,1.550000,1.049283,1959356000
2002-03-01,1.566429,1.807143,1.558571,1.690714,1.144540,1329645800
2002-04-01,1.670000,1.869286,1.642857,1.733571,1.173553,1605709000
2002-05-01,1.735000,1.855714,1.581429,1.664286,1.126649,1494039400
2002-06-01,1.670714,1.675000,1.141429,1.265714,0.856834,2177004200
2002-07-01,1.265000,1.342143,0.985714,1.090000,0.737883,2029603800
2002-08-01,1.079286,1.160714,0.997857,1.053571,0.713222,1287921600
2002-09-01,1.035000,1.085000,1.003571,1.035714,0.701134,1322959400
2002-10-01,1.042143,1.174286,0.954286,1.147857,0.777049,1652858200
2002-11-01,1.138571,1.241429,1.072143,1.107143,0.749488,1132930400
2002-12-01,1.135714,1.150000,0.984286,1.023571,0.692913,1132609800
2003-01-01,1.025714,1.098571,0.968571,1.025714,0.694364,1511458200
2003-02-01,1.029286,1.092857,0.985714,1.072143,0.725794,1028575800
2003-03-01,1.072143,1.082857,1.002857,1.010000,0.683726,1007101200
2003-04-01,1.014286,1.067857,0.908571,1.015714,0.687594,1943835600
2003-05-01,1.017857,1.357857,1.000000,1.282143,0.867955,2702886200
2003-06-01,1.292857,1.406429,1.187857,1.361429,0.921628,1528333800
2003-07-01,1.347857,1.540714,1.322143,1.505714,1.019303,1304567600
2003-08-01,1.500000,1.632143,1.387143,1.615000,1.093285,1076891200
2003-09-01,1.618571,1.665714,1.439286,1.480000,1.001896,1336871200
2003-10-01,1.479286,1.786429,1.442143,1.635000,1.106824,1760047800
2003-11-01,1.630714,1.664286,1.417857,1.493571,1.011083,1243526200
2003-12-01,1.502857,1.564286,1.375000,1.526429,1.033326,1363468400
2004-01-01,1.539286,1.774286,1.512857,1.611429,1.090867,1981950600
2004-02-01,1.604286,1.721429,1.550000,1.708571,1.156629,1230507600
2004-03-01,1.721429,2.010000,1.685714,1.931429,1.307493,2906528800
2004-04-01,1.920714,2.112857,1.820714,1.841429,1.246567,2232543600
2004-05-01,1.857143,2.055714,1.821429,2.004286,1.356814,1326068800
2004-06-01,1.985000,2.442143,1.972143,2.324286,1.573440,2056808600
2004-07-01,2.292857,2.402143,2.052857,2.310000,1.563770,2424144800
2004-08-01,2.227143,2.512857,2.121428,2.463571,1.667731,2002841400
2004-09-01,2.450000,2.805000,2.442143,2.767857,1.873719,1918376600
2004-10-01,2.794286,3.800000,2.689286,3.742857,2.533751,4023591600
2004-11-01,3.750000,4.969285,3.717143,4.789286,3.242138,4359901000
2004-12-01,4.842143,4.853571,4.400000,4.600000,3.114000,3987153800
2005-01-01,4.627143,5.563571,4.471428,5.492857,3.718426,6427061200
2005-02-01,5.503572,6.491428,5.470000,6.408571,4.338324,5362236600
2005-03-01,6.427143,6.444286,5.547143,5.952857,4.029826,3668980000
2005-04-01,6.012857,6.350000,4.857143,5.151429,3.487293,4843879600
2005-05-01,5.172857,5.848571,4.730000,5.680000,3.845112,3214573600
2005-06-01,5.698571,5.822857,5.074286,5.258572,3.559824,2831798900
2005-07-01,5.261428,6.340000,5.184286,6.092857,4.124601,2523561600
2005-08-01,6.081429,6.904286,6.002857,6.698571,4.534642,2350201700
2005-09-01,6.714286,7.794286,6.584286,7.658571,5.184520,3086942600
2005-10-01,7.737143,8.282857,6.838572,8.227143,5.569419,4660861800
