Date,Open,High,Low,Close,Volume,Adj Close
11/1/2016,16.559999,16.75,16.33,16.610001,177174200,16.610001
10/3/2016,15.59,17.1,15.5,16.5,85405700,16.5
9/1/2016,16.15,16.15,14.81,15.65,92615600,15.65
8/1/2016,14.52,16.24,14.09,16.139999,84397300,16.139999
7/1/2016,13.19,14.7,12.45,14.49,88247800,14.422875
6/1/2016,14.6,14.98,12.05,13.27,109750300,13.208528
5/2/2016,14.58,15.15,13.8,14.79,87092900,14.671717
4/1/2016,13.47,15.3,12.75,14.56,102195300,14.443557
3/1/2016,12.64,14.03,12.62,13.52,113445000,13.411874
2/1/2016,14.05,14.09,10.99,12.52,184741000,12.372791
1/4/2016,16.450001,16.59,12.94,14.14,147820400,13.973743
12/1/2015,17.52,17.889999,16.5,16.83,82645700,16.632114
11/2/2015,16.9,18.09,16.870001,17.43,75064200,17.176702
10/1/2015,15.52,17.440001,14.63,16.780001,88001900,16.536148
9/1/2015,15.95,16.48,15.25,15.58,88059900,15.353586
8/3/2015,17.91,18.07,14.6,16.34,99779500,16.050865
7/1/2015,17.25,18.48,16.219999,17.879999,89618600,17.563614
6/1/2015,16.58,17.719999,16.469999,17.02,79501400,16.718832
5/1/2015,16,16.85,15.92,16.5,73876500,16.159565
4/1/2015,15.42,16.049999,15.25,15.93,73454000,15.601325
3/2/2015,15.79,16.620001,15.26,15.39,87119000,15.072467
2/2/2015,15.27,16.790001,15.12,15.81,107090800,15.435535
1/2/2015,17.99,18.030001,14.97,15.15,115560500,14.791167
12/1/2014,16.92,18.209999,16.59,17.889999,80419800,17.466269
11/3/2014,17.18,17.459999,16.83,17.040001,51044600,16.5879
10/1/2014,17.07,17.41,15.43,17.16,99593100,16.704716
9/2/2014,16.139999,17.200001,15.9,17.049999,89160300,16.597633
8/1/2014,15.18,16.459999,14.84,16.09,71206700,15.61497
7/1/2014,15.38,16.23,15.13,15.25,71392900,14.799769
6/2/2014,15.16,15.94,15.05,15.37,62119000,14.916226
5/1/2014,15.14,15.31,14.37,15.14,71820600,14.683568
4/1/2014,17.280001,17.4,14.86,15.14,110828000,14.683568
3/3/2014,16.299999,18.030001,16.190001,17.200001,114257300,16.681465
2/3/2014,16.77,16.92,16.129999,16.530001,114815100,16.022081
1/2/2014,15.69,17.42,15.68,16.75,129563200,16.235321
12/2/2013,15.84,15.97,15.06,15.57,81838900,15.091578
11/1/2013,14,15.98,13.8,15.82,105192300,15.324029
10/1/2013,13.85,14.72,13.68,13.97,93637500,13.532029
9/3/2013,14.3,14.83,13.6,13.8,90972500,13.367358
8/1/2013,14.85,14.97,13.98,14.12,91225700,13.667727
