Date,Open,High,Low,Close,Volume,Adj Close
11/1/2016,73.629997,80,71.389999,78.470001,16607200,78.470001
10/3/2016,78.629997,78.970001,72.209999,73.629997,9339100,73.629997
9/1/2016,78.43,82.07,76.669998,79.120003,10437200,79.120003
8/1/2016,79.809998,82.099998,77.580002,78.379997,10366500,77.908066
7/1/2016,83.150002,88.849998,79.370003,79.470001,12745500,78.991508
6/1/2016,87.230003,88.239998,77.919998,83.419998,9430200,82.917725
5/2/2016,88.699997,89.449997,81.279999,87.059998,9931300,86.051506
4/1/2016,91.339996,103.099998,87.800003,88.209999,12687000,87.188187
3/1/2016,87.900002,94.309998,86.849998,91.860001,12321800,90.795906
2/1/2016,82.32,91.5,81.889999,87.25,14733700,85.825668
1/4/2016,99.769997,100.68,82.330002,83,15974700,81.645042
12/1/2015,106.349998,107.379997,98.660004,101.190002,8695500,99.538101
11/2/2015,108.760002,109.949997,101.639999,105.959999,8054900,103.782173
10/1/2015,98.540001,111.110001,94.370003,108.129997,12814300,105.90757
9/1/2015,102.220001,113.309998,93.190002,98.190002,12900800,96.171875
8/3/2015,118.5,120.370003,86,105.07,11544400,102.506821
7/1/2015,118.110001,119.720001,108,117.860001,11117800,114.984818
6/1/2015,113.169998,123.370003,112.519997,117.080002,11147600,114.223846
5/1/2015,103.199997,113.43,99.660004,112.269997,12625800,109.135818
4/1/2015,98.160004,105.75,95.379997,100.510002,11080300,97.704124
3/2/2015,104.300003,104.449997,98.07,98.129997,11431700,95.390556
2/2/2015,106.099998,107.309998,95.809998,103.529999,14721000,100.639809
1/2/2015,95.139999,107.769997,93.18,104.830002,15764200,101.903519
12/1/2014,100,109.489998,85.949997,94.260002,20659500,91.628601
11/3/2014,112.309998,112.800003,98.370003,100.32,16314600,97.519424
10/1/2014,106.989998,116.830002,91.730003,112,16546700,108.87336
9/2/2014,108.169998,110.639999,97.540001,106.449997,15647800,103.478294
8/1/2014,91,108.769997,90.690002,107.559998,13412200,104.557304
7/1/2014,83.370003,94.339996,83.32,91.550003,13730900,88.994255
6/2/2014,81.32,84.449997,78.5,82.910004,10482400,80.595451
5/1/2014,78.620003,83.699997,76.629997,81.209999,12036900,78.942909
4/1/2014,73.339996,78.669998,63.5,78.489998,23462800,76.298836
3/3/2014,82.790001,83.440002,67.629997,70.860001,17170900,68.881844
2/3/2014,81.769997,84.879997,75.699997,82.790001,13086700,80.478798
1/2/2014,75.209999,84.400002,72.529999,80.650002,11597700,78.398544
12/2/2013,74.839996,76.110001,69.050003,75.099998,11840100,73.003471
11/1/2013,71.389999,75.43,65.529999,74.809998,10267100,72.721573
10/1/2013,63.02,73.199997,58.810001,71.18,10043600,69.192909
9/3/2013,60.900002,64.739998,59.419998,62.869999,6501600,61.114891
8/1/2013,62.049999,62.200001,55.959999,60.27,6928600,58.587479
7/1/2013,51.970001,64.040001,51.419998,61.400002,10209900,59.685932
6/3/2013,54.560001,54.639999,46.700001,51.27,11475400,49.838726
5/1/2013,50.450001,58.060001,49.860001,54.48,13027900,52.959114
4/1/2013,49.009998,55.16,46.529999,50.639999,13365200,49.226311
3/1/2013,42.630001,49.48,42.380001,48.939999,11356100,47.573769
2/1/2013,40.169998,43.349998,39.48,42.720001,10366200,41.527412
1/2/2013,74.309998,79.370003,39.209999,39.450001,9466700,38.348698
12/3/2012,74.970001,77.120003,71.360001,73.449997,10020500,35.699768
11/1/2012,67.699997,76.279999,64.139999,75,16782500,36.453133
10/1/2012,67.489998,70.389999,64.400002,67.18,15761800,32.652287
